,pos,count,total_len
9_4,9_4,45.0,5159.65916598
11_14,11_14,118.0,13974.0615416
12_12,12_12,14.0,3196.02172327
13_8,13_8,164.0,16488.5852662
9_3,9_3,46.0,4967.76848524
16_8,16_8,10.0,939.393859388
9_2,9_2,1.0,89.8339668356
13_11,13_11,97.0,11231.0790119
13_10,13_10,144.0,15428.1580666
13_13,13_13,10.0,2548.3248888
13_12,13_12,22.0,1960.82149497
3_19,3_19,123.0,14317.0340597
3_18,3_18,121.0,13042.5706609
12_28,12_28,13.0,1524.40795556
13_16,13_16,3.0,174.443333439
13_19,13_19,4.0,1876.28479992
3_17,3_17,57.0,7253.97531484
14_10,14_10,144.0,16644.127087
10_5,10_5,142.0,16072.1308155
6_14,6_14,1.0,281.645926986
12_13,12_13,104.0,12857.1137035
6_12,6_12,77.0,8598.89322226
6_13,6_13,32.0,4442.17366265
6_10,6_10,117.0,13291.7792912
6_11,6_11,99.0,11657.7382386
16_9,16_9,28.0,5083.5679521
12_18,12_18,17.0,1275.43262846
6_18,6_18,12.0,2334.97540451
6_19,6_19,27.0,4728.46210378
4_8,4_8,3.0,759.339160818
4_9,4_9,22.0,2151.55631147
5_7,5_7,19.0,1970.73844777
5_9,5_9,80.0,7849.29137994
5_8,5_8,57.0,7879.99242974
8_24,8_24,21.0,3272.44207625
12_10,12_10,199.0,18554.6926484
9_28,9_28,16.0,3519.71443226
9_29,9_29,6.0,2387.34911788
13_4,13_4,94.0,12336.8581111
11_26,11_26,59.0,5989.64797767
11_27,11_27,60.0,6251.80018499
11_24,11_24,123.0,12964.7158957
12_11,12_11,74.0,9371.33104573
12_30,12_30,5.0,353.27892155
11_25,11_25,92.0,9261.73906294
16_10,16_10,19.0,3341.11395007
11_22,11_22,146.0,14712.5746167
16_14,16_14,2.0,113.720231624
11_23,11_23,202.0,18056.7691806
15_14,15_14,4.0,2290.85292591
11_20,11_20,89.0,9344.90930095
13_15,13_15,58.0,5446.90953791
11_21,11_21,114.0,12227.2044014
13_14,13_14,103.0,11192.3325208
8_18,8_18,88.0,15973.5348084
8_19,8_19,91.0,12018.3783497
10_27,10_27,116.0,12764.038256
10_26,10_26,148.0,15122.9677825
10_21,10_21,146.0,14386.0016667
10_20,10_20,190.0,16577.6311853
10_23,10_23,167.0,16635.9236552
10_22,10_22,176.0,16738.6150144
8_10,8_10,212.0,18570.9544015
8_11,8_11,162.0,16761.7104174
8_12,8_12,204.0,17768.5327842
8_13,8_13,227.0,18369.7620002
8_14,8_14,187.0,17367.8898785
8_15,8_15,238.0,24824.4353087
8_16,8_16,205.0,20373.1413166
8_17,8_17,133.0,16120.7844015
8_6,8_6,122.0,14351.2468215
8_7,8_7,153.0,16990.4172409
8_4,8_4,5.0,634.447672015
8_5,8_5,112.0,12943.4955725
4_18,4_18,144.0,14863.8328401
4_19,4_19,163.0,16829.1974986
14_5,14_5,135.0,13710.6564819
4_16,4_16,9.0,1787.01790541
4_17,4_17,132.0,15188.4826514
4_10,4_10,107.0,12376.6671618
4_11,4_11,128.0,14773.5901246
4_12,4_12,22.0,2226.45707199
8_9,8_9,191.0,18948.3471582
7_19,7_19,30.0,6428.59902361
7_18,7_18,9.0,2027.69417658
15_11,15_11,92.0,11134.6145898
9_9,9_9,171.0,13369.2622051
9_8,9_8,191.0,18488.2172835
7_11,7_11,165.0,17076.2598174
7_10,7_10,76.0,8726.99715266
7_13,7_13,205.0,18230.6543279
7_12,7_12,174.0,18148.6364057
7_15,7_15,73.0,6403.3966895
7_14,7_14,144.0,14206.5674223
12_14,12_14,40.0,6022.15686852
14_9,14_9,144.0,15038.9727837
15_10,15_10,139.0,15925.8063381
15_12,15_12,16.0,1433.92480886
10_30,10_30,16.0,2851.24093545
12_25,12_25,3.0,220.657906695
16_11,16_11,27.0,3489.06482587
10_29,10_29,94.0,10767.0988165
14_20,14_20,4.0,3294.43799657
12_24,12_24,50.0,5711.36975198
12_15,12_15,141.0,14889.257756
13_20,13_20,4.0,2332.13644914
12_23,12_23,58.0,5831.6185267
12_22,12_22,33.0,3566.54258061
5_17,5_17,5.0,728.992089447
5_12,5_12,136.0,14204.609319
5_11,5_11,163.0,16022.396837
5_10,5_10,133.0,15508.9965444
15_20,15_20,3.0,2601.70006095
5_19,5_19,89.0,12478.5295948
5_18,5_18,9.0,2106.91860049
11_18,11_18,193.0,17177.9757637
13_9,13_9,143.0,16153.4433093
10_25,10_25,145.0,15170.9635961
10_19,10_19,225.0,22247.1456055
10_24,10_24,136.0,14155.578725
13_3,13_3,52.0,8497.94781944
13_2,13_2,1.0,17.646348822
13_5,13_5,126.0,13889.6365305
12_2,12_2,53.0,3919.26625595
13_7,13_7,138.0,14712.9516034
13_6,13_6,123.0,13332.21445
11_12,11_12,72.0,7961.37803731
11_28,11_28,124.0,14084.8047315
12_29,12_29,12.0,1406.24568338
11_9,11_9,190.0,21350.730793
11_8,11_8,131.0,13362.2211752
11_7,11_7,129.0,18415.5139036
11_6,11_6,98.0,11175.4675114
11_5,11_5,67.0,8217.49264234
11_4,11_4,64.0,8976.29047802
11_3,11_3,78.0,9214.27791004
11_2,11_2,53.0,5859.85307181
5_22,5_22,26.0,5362.24221881
5_23,5_23,54.0,7512.74727454
5_20,5_20,86.0,10064.5158071
5_21,5_21,66.0,8789.48848131
5_26,5_26,20.0,1667.66575274
11_13,11_13,144.0,16069.9126302
5_24,5_24,106.0,12747.7011217
5_25,5_25,62.0,8368.57589899
16_15,16_15,2.0,2245.3200039
3_8,3_8,1.0,456.101691306
15_3,15_3,35.0,3766.93256159
12_8,12_8,196.0,20284.5838647
15_7,15_7,110.0,13509.228125
15_6,15_6,94.0,12527.8015061
15_5,15_5,97.0,12057.5407972
12_9,12_9,185.0,19088.1966835
15_4,15_4,111.0,13048.8327048
15_9,15_9,70.0,6952.48626015
15_8,15_8,112.0,12276.2502531
12_3,12_3,128.0,13382.2212993
4_25,4_25,134.0,15698.6074671
4_24,4_24,109.0,12748.1667035
14_8,14_8,151.0,16624.9660465
1_18,1_18,14.0,1416.60956099
4_21,4_21,60.0,7102.22708579
4_20,4_20,101.0,12162.6688445
4_23,4_23,97.0,11479.0440059
4_22,4_22,74.0,10209.2479589
10_14,10_14,132.0,14099.0222236
6_8,6_8,141.0,15388.0365486
10_16,10_16,188.0,17524.2340515
10_17,10_17,199.0,17802.283487
10_10,10_10,209.0,18403.136191
10_11,10_11,190.0,18723.2859748
10_12,10_12,108.0,12564.6495799
6_9,6_9,79.0,7744.17668425
3_24,3_24,110.0,13375.0206958
3_25,3_25,78.0,9580.22297269
3_26,3_26,20.0,1520.32717526
3_20,3_20,137.0,15995.1754645
3_21,3_21,123.0,14265.5099694
3_22,3_22,126.0,14672.8056268
3_23,3_23,134.0,14691.1562374
10_28,10_28,71.0,7942.02336955
14_3,14_3,49.0,6561.52437083
12_19,12_19,4.0,4205.83577762
9_13,9_13,54.0,5387.69893989
9_12,9_12,70.0,8339.2318104
9_11,9_11,207.0,20028.210973
9_10,9_10,271.0,21876.3513307
9_17,9_17,223.0,22778.2552039
9_16,9_16,252.0,25309.9951587
9_15,9_15,234.0,25423.3316313
9_14,9_14,141.0,17381.5056616
10_2,10_2,38.0,5769.60201299
9_19,9_19,179.0,17198.0075702
9_18,9_18,134.0,24871.0624602
11_30,11_30,11.0,513.058004025
10_15,10_15,211.0,18854.0522482
10_3,10_3,109.0,13240.4103539
6_5,6_5,15.0,1668.15390951
6_6,6_6,46.0,6567.66799831
6_7,6_7,151.0,15834.1207067
12_4,12_4,68.0,9052.15438937
12_5,12_5,98.0,14228.399935
12_6,12_6,86.0,12851.0536009
12_7,12_7,113.0,13991.7825392
2_27,2_27,19.0,3194.70482561
2_26,2_26,121.0,13404.6969389
2_25,2_25,97.0,12307.4687288
2_24,2_24,140.0,13922.0018988
2_23,2_23,107.0,12024.7537389
2_22,2_22,127.0,12083.2113504
2_21,2_21,62.0,7934.66227543
2_20,2_20,67.0,7310.68406494
10_6,10_6,132.0,15407.572275
10_7,10_7,159.0,17380.2613313
10_4,10_4,123.0,14278.4371906
4_26,4_26,1.0,25.6093775816
7_9,7_9,146.0,15543.6537625
7_8,7_8,147.0,17179.3049063
14_11,14_11,122.0,14979.712497
7_5,7_5,113.0,10025.5894113
10_18,10_18,176.0,17955.0655746
7_7,7_7,150.0,17255.3910736
7_6,7_6,146.0,15669.1488115
14_14,14_14,2.0,1679.97071225
14_12,14_12,123.0,12732.413781
10_8,10_8,94.0,9749.67010791
10_9,10_9,81.0,8290.05504767
16_4,16_4,39.0,5938.44977754
16_5,16_5,12.0,3365.52565839
16_6,16_6,24.0,4317.24962066
14_13,14_13,10.0,1483.84943644
16_3,16_3,6.0,386.248140231
11_29,11_29,75.0,7936.13861551
11_10,11_10,170.0,22429.6544224
11_19,11_19,130.0,15363.6523236
8_21,8_21,128.0,15102.6492431
8_20,8_20,136.0,19707.9728641
8_23,8_23,117.0,15754.375354
8_22,8_22,121.0,15346.0254587
8_25,8_25,3.0,351.915689566
8_8,8_8,167.0,17479.318542
8_27,8_27,1.0,65.6488491042
9_5,9_5,114.0,11968.2400957
9_26,9_26,90.0,10608.6332661
9_27,9_27,65.0,11065.8516083
9_24,9_24,154.0,16867.4924368
9_25,9_25,106.0,13471.7739484
9_22,9_22,144.0,14927.3722297
9_23,9_23,144.0,14236.9762775
9_20,9_20,236.0,20077.1635391
9_21,9_21,37.0,5408.38714636
2_18,2_18,133.0,14463.0246019
2_19,2_19,122.0,11671.9307295
14_6,14_6,95.0,11553.5498757
2_17,2_17,8.0,814.461598279
14_7,14_7,98.0,12697.5917824
9_31,9_31,2.0,355.932127707
16_7,16_7,30.0,3724.80862241
14_4,14_4,118.0,13386.4888311
9_30,9_30,2.0,676.465885675
17_15,17_15,2.0,655.849388336
10_13,10_13,149.0,19814.2285367
11_11,11_11,205.0,22726.0164612
7_20,7_20,113.0,17773.7889077
7_21,7_21,48.0,7900.54595352
7_22,7_22,128.0,13211.7710326
7_23,7_23,88.0,10623.4106915
7_24,7_24,72.0,7542.17079152
7_25,7_25,107.0,11459.5256775
7_26,7_26,22.0,2948.36103311
12_17,12_17,108.0,9946.09037228
12_16,12_16,179.0,18056.373587
11_16,11_16,160.0,17134.9727577
1_26,1_26,19.0,2298.81130581
9_7,9_7,139.0,16705.9660128
1_24,1_24,20.0,2055.56859684
1_25,1_25,45.0,5667.91880581
11_15,11_15,187.0,18016.9448741
9_6,9_6,133.0,15640.0381681
6_23,6_23,57.0,9749.3048049
6_22,6_22,24.0,4422.83252425
6_21,6_21,24.0,3839.0191365
6_20,6_20,69.0,9305.51636954
11_17,11_17,190.0,17757.5742284
6_26,6_26,10.0,3083.66206716
6_25,6_25,85.0,13730.7861564
6_24,6_24,79.0,12410.9680114
